file_path,date,subfolder,lang,tier,field,violation_code,before,after,reason
news/2026-02-10-biodiversity-citizenship-en.html,2026-02-10,biodiversity-citizenship,en,B,title,TITLE_TOO_LONG,Government Announces Dual Policy Push: Biodiversity Strategy and Stricter Citizenship Rules,,no analysis source on disk — rewrite in place from HTML body; Title is 91 chars (max 70 for lang=en).
news/2026-02-10-biodiversity-citizenship-sv.html,2026-02-10,biodiversity-citizenship,sv,B,title,TITLE_TOO_LONG,Regeringen presenterar dubbel policysatsning: Biologisk mångfald och strängare medborgarskapsregler,,no analysis source on disk — rewrite in place from HTML body; Title is 99 chars (max 70 for lang=sv).
news/2026-02-10-biodiversity-citizenship-sv.html,2026-02-10,biodiversity-citizenship,sv,B,description,DESCRIPTION_TOO_LONG,Samma dag som statsministern samråder med riksdagen om EU-toppmöte presenterar regeringen handlingsplan för biologisk mångfald och reform av medborgarskapspolitiken—ett tecken på proaktiv agenda trots oppositionstryck.,,no analysis source on disk — rewrite in place from HTML body; Description is 218 chars (max 200 for lang=sv).
news/2026-02-10-biodiversity-citizenship-sv.html,2026-02-10,biodiversity-citizenship,sv,C,title,TITLE_TOO_LONG,Regeringen presenterar dubbel policysatsning: Biologisk mångfald och strängare medborgarskapsregler,,"non-EN article (lang=sv, window 140-200) with long title — translation repair; Title is 99 chars (max 70 for lang=sv)."
news/2026-02-10-biodiversity-citizenship-sv.html,2026-02-10,biodiversity-citizenship,sv,C,description,DESCRIPTION_TOO_LONG,Samma dag som statsministern samråder med riksdagen om EU-toppmöte presenterar regeringen handlingsplan för biologisk mångfald och reform av medborgarskapspolitiken—ett tecken på proaktiv agenda trots oppositionstryck.,,"non-EN article (lang=sv, window 140-200) with long title — translation repair; Description is 218 chars (max 200 for lang=sv)."
news/2026-02-10-pm-eu-summit-en.html,2026-02-10,pm-eu-summit,en,B,title,TITLE_TOO_SHORT,Prime Minister Faces Parliament Before Brussels Summit,,no analysis source on disk — rewrite in place from HTML body; Title is 54 chars (min 55 for lang=en).
news/2026-02-10-pm-eu-summit-sv.html,2026-02-10,pm-eu-summit,sv,B,title,TITLE_TOO_SHORT,Statsministern möter riksdagen inför Brysseltoppmöte,,no analysis source on disk — rewrite in place from HTML body; Title is 52 chars (min 55 for lang=sv).
news/2026-02-10-pm-eu-summit-sv.html,2026-02-10,pm-eu-summit,sv,B,description,DESCRIPTION_TOO_LONG,I sällsynt öppet EU-nämndsmöte samråder statsminister Ulf Kristersson med riksdagen inför torsdagens informella toppmöte samtidigt som regeringen möter hårt motstånd om ekonomisk brottslighet och medborgarskap.,,no analysis source on disk — rewrite in place from HTML body; Description is 210 chars (max 200 for lang=sv).
news/2026-02-10-week-ahead-feb-10-17-en.html,2026-02-10,week-ahead-feb-10-17,en,B,title,TITLE_TOO_SHORT,Week Ahead: Brussels Summit Tests Swedish EU Strategy,,no analysis source on disk — rewrite in place from HTML body; Title is 53 chars (min 55 for lang=en).
news/2026-02-10-week-ahead-feb-10-17-en.html,2026-02-10,week-ahead-feb-10-17,en,B,description,DESCRIPTION_TOO_LONG,"Critical week for Swedish European policy as PM Kristersson attends informal leaders summit while EU Committee follows up on defense and economic issues. Parliament debates citizenship, biodiversity, and economic crime.",,no analysis source on disk — rewrite in place from HTML body; Description is 219 chars (max 200 for lang=en).
news/2026-02-10-week-ahead-feb-10-17-sv.html,2026-02-10,week-ahead-feb-10-17,sv,B,title,TITLE_TOO_LONG,Veckan som kommer: Brysseltoppmöte testar svensk EU-strategi — Riksdagsmonitor,,no analysis source on disk — rewrite in place from HTML body; Title is 78 chars (max 70 for lang=sv).
news/2026-02-10-week-ahead-feb-10-17-sv.html,2026-02-10,week-ahead-feb-10-17,sv,B,title,TITLE_ENDS_WITH_BRAND,Veckan som kommer: Brysseltoppmöte testar svensk EU-strategi — Riksdagsmonitor,,"no analysis source on disk — rewrite in place from HTML body; Title ends with "" — Riksdagsmonitor"" (chrome template double-brand)."
